Diet Type,Calories,Protein,Calcium,Fats,Breakfast,Lunch,Dinner
Non-Vegetarian,2532,115,494,71,Egg Omelette,Mutton Biryani,Butter Chicken
Vegetarian,3158,132,1090,81,Idli Sambhar,Chole Bhature,Palak Paneer with Roti
Vegetarian,2211,109,456,91,Paneer Paratha,Dal Rice,Khichdi
Non-Vegetarian,2084,113,813,56,Egg Omelette,Mutton Biryani,Tandoori Fish
Non-Vegetarian,1903,104,673,66,Chicken Sausage,Prawn Masala,Grilled Chicken
Vegetarian,1642,98,859,26,Vegetable Poha,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,2071,58,515,81,Paneer Paratha,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,1738,104,698,59,Chicken Sandwich,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,2538,52,1117,43,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,2186,175,698,95,Egg Omelette,Prawn Masala,Butter Chicken
Vegetarian,2141,171,633,43,Paneer Paratha,Chole Bhature,Mixed Vegetable Curry
Vegetarian,2620,71,550,22,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Vegetarian,3460,89,923,37,Aloo Paratha,Chole Bhature,Dum Aloo
Vegetarian,1836,132,471,39,Paneer Paratha,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,1381,133,1197,46,Egg Omelette,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,1593,141,652,82,Chicken Sausage,Egg Curry with Rice,Grilled Chicken
Vegetarian,3046,172,414,23,Vegetable Poha,Rajma Chawal,Matar Paneer
Non-Vegetarian,1486,108,756,35,Scrambled Eggs,Prawn Masala,Tandoori Fish
Non-Vegetarian,3264,91,991,51,Chicken Sausage,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,1494,101,1078,61,Vegetable Poha,Vegetable Biryani,Palak Paneer with Roti
Vegetarian,2063,91,779,36,Idli Sambhar,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,1640,66,506,69,Aloo Paratha,Rajma Chawal,Mixed Vegetable Curry
